g17717.t1	HiC_scaffold_103	0	446	0.925150421179302
g17723.t1	HiC_scaffold_128	0	779	0.834862385321101
g17783.t1	HiC_scaffold_348	0	635	0.665278934221482
g17796.t1	HiC_scaffold_369	0	1716	1.11193241816262
g17812.t1	HiC_scaffold_376	0	438	1.27495024168325
g17819.t1	HiC_scaffold_382	0	1000	1.25035161744022
g17787.t1	HiC_scaffold_361	391	969	0.896183929841194
g17756.t1	HiC_scaffold_227	513	891	0.833409715857012
g17811.t1	HiC_scaffold_375	629	938	0.852941176470588
g17776.t1	HiC_scaffold_345	1572	2377	0.62713588283157
g17822.t1	HiC_scaffold_384	3300	7092	1.35254336959718
g17640.t1	HiC_scaffold_24	7058	8077	2.02953426732298
g17823.t1	HiC_scaffold_384	7306	8715	1.98099142750652
g17799.t1	HiC_scaffold_370	13253	17032	1.07200207200207
g9093.t1	chr_3	30975	33454	0.989554837105198
g17842.t1	HiC_scaffold_385	41959	42567	0.708306641042067
g14370.t1	chr_4	82828	84813	2.0188679245283
g7.t1	chr_1	100307	101704	0.931659019560492
g14372.t1	chr_4	103939	104858	2.07612456747405
g12.t1	chr_1	136017	136637	0.857640501625639
g13.t1	chr_1	136656	136971	1.17746325530757
g9106.t1	chr_3	157277	158147	1.00300450676014
g9108.t1	chr_3	167363	168091	1.00803212851406
g14385.t1	chr_4	200697	202755	1.22433366238894
g16.t1	chr_1	208364	210779	1.18551912568306
g9116.t1	chr_3	215490	218841	0.384149506835093
g9117.t1	chr_3	219158	222072	0.950743721043648
g9117.t1	chr_3	219158	222072	0.950743721043648
g14389.t1	chr_4	228455	236686	0.815932818883341
g14390.t1	chr_4	243567	247021	0.770865618773522
g14391.t1	chr_4	247361	248632	1.0465592223075
g14394.t1	chr_4	257227	261907	0.826067107966218
g14397.t1	chr_4	265426	265795	0.836125774615561
g9127.t1	chr_3	269715	270528	1.11190287674848
g9128.t1	chr_3	270791	272569	0.693838661867457
g14406.t1	chr_4	342037	343708	0.996256551035687
g4222.t1	chr_2	343126	344341	1.02454453441296
